fileID,fxgroupID,fxgroup,fxtypeID,fxtype,fxsettingID,fxsetting
G61-40100-1111-20593.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-41101-1111-20594.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-42102-1111-20595.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-43103-1111-20596.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-44104-1111-20597.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-45105-1111-20598.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-46106-1111-20599.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-47107-1111-20600.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-48108-1111-20601.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-49109-1111-20602.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-50110-1111-20603.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-51111-1111-20604.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-52112-1111-20605.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-45200-1111-20606.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-46201-1111-20607.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-47202-1111-20608.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-48203-1111-20609.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-49204-1111-20610.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-50205-1111-20611.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-51206-1111-20612.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-52207-1111-20613.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-53208-1111-20614.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-54209-1111-20615.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-55210-1111-20616.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-56211-1111-20617.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-57212-1111-20618.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-50300-1111-20619.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-51301-1111-20620.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-52302-1111-20621.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-53303-1111-20622.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-54304-1111-20623.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-55305-1111-20624.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-56306-1111-20625.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-57307-1111-20626.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-58308-1111-20627.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-59309-1111-20628.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-60310-1111-20629.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-61311-1111-20630.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-62312-1111-20631.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-55400-1111-20632.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-56401-1111-20633.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-57402-1111-20634.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-58403-1111-20635.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-59404-1111-20636.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-60405-1111-20637.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-61406-1111-20638.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-62407-1111-20639.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-63408-1111-20640.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-64409-1111-20641.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-65410-1111-20642.wav,1,No FX,0,No FX,1,Clean Instrument Sound
G61-66411-1111-20643.wav,1,No FX,0,No FX,1,Clean Instrument Sound
